#,Business School,Description,Class Size,Women,Mean GMAT,Mean GPA,Avg GRE,Avg Work Exp (Years),Avg Starting Salary,Tuition (Total),R1,R2,R3,R4,R5,Application Fee,GMAT/GRE Waiver Available,International Students,Women,Avg GPA,Avg GMAT,Admissions Rounds,Location,QS MBA Rank,FT Global MBA Rank,Bloomberg MBA Rank,Employment in 3 Months (%),Weighted Salary ($),Top Hiring Companies,Alumni Network Strength,Alumnus 1,Alumnus 2,Alumnus 3,Alumnus 4
1,"Babson College, F.W. Olin Graduate School of Business","Located in Wellesley, MA, near Boston. Renowned for #1 MBA in entrepreneurship (U.S. News, 30+ years). Offers one-year and two-year full-time MBA programs, plus part-time and blended learning options. Features Entrepreneurial Thought & Action® methodology, emphasizing practical training, market analysis, and social responsibility. Curriculum includes 45 credits (15 core, 30 electives) and real-world projects like Babson Consulting Alliance.",~100 (Two-Year),33%,601,3.29,Not reported,6,"$1,16,935.00","$113,354 (Two-Year)","Oct 21, 2024","Jan 13, 2025","Mar 27, 2025","May 7, 2025","Jun 1, 2025",$100.00,Yes,85%,33%,3.29,601,5,USA,,83,,59,147 292,EY; PwC; Apple; Accenture; Goldman Sachs; Google,Very strong in entrepreneurship,"Arthur Blank (Co-founder, Home Depot)","Roger Enrico (Former CEO, PepsiCo)","William Green (Former CEO, Accenture)","Matt Coffin (Founder, LowerMyBills.com)"
2,"University of California, Berkeley, Haas School of Business","Located in Berkeley, CA. Offers a full-time MBA with a focus on innovation, leadership, and social impact. Known for its ""Defining Leadership Principles"" (Question the Status Quo, Confidence Without Attitude, Students Always, Beyond Yourself). Features experiential learning, tech, and entrepreneurship. STEM-designated.",283,39%,716,3.64,326,5.5,"$1,99,893.00","$164,086 (2 years)","Sep 12, 2024","Jan 9, 2025","Apr 3, 2025",,,$200.00,Yes,37%,39%,3.64,716,3,USA,13,15,10,88,218 992,McKinsey; Google; Goldman Sachs; BCG; Amazon; Tesla,"Very strong, global reach","Shantanu Narayen (CEO, Adobe)","Paul Otellini (Former CEO, Intel)","Barbara Desoer (Former CEO, Citibank)","Walter Haas Jr. (Chairman, Levi Strauss & Co.)"
3,"Boston College, Carroll School of Management","Located in Chestnut Hill, MA. Offers a full-time MBA emphasizing ethics, leadership, and global perspective. Features a flexible curriculum with concentrations in analytics, finance, and marketing. Strong alumni network and Jesuit values.",77,38%,658,3.39,Not reported,5,"$1,41,986.00","$123,948 (2 years)","Oct 15, 2024","Jan 7, 2025","Mar 11, 2025","Apr 15, 2025",,$100.00,Yes,24%,38%,3.39,658,4,USA,,73,,94,147 515,Fidelity; Deloitte; KPMG; JPMorgan Chase; Bain & Co.; EY,Strong in finance,"Peter Lynch (Investor, Fidelity)",John Kerry (U.S. Senator & ex-Sec. of State),Amy Poehler (Actress & Entrepreneur),Marty Walsh (Former U.S. Sec. of Labor)
4,"Brigham Young University, Marriott School of Business","Located in Provo, UT. Offers a full-time MBA with a focus on ethics, entrepreneurship, and global supply chain. Known for low tuition, faith-based learning (LDS Church). Strong ROI and career placement, particularly in tech and consulting.",123,24%,672,3.55,321,5,"$1,35,000.00","$30,832 (2 years, LDS)","Oct 15, 2024","Jan 10, 2025","Mar 15, 2025","May 1, 2025",,$50.00,Yes,32%,24%,3.55,672,4,USA,,83,,87,151 772,Goldman Sachs; Bain & Co.; Adobe; Amazon; McKinsey; Microsoft,Strong in Utah & West Coast,Mitt Romney (U.S. Senator & ex-Presidential Candidate),"Kevin Rollins (Former CEO, Dell)",Clayton Christensen (Harvard Professor & Author),"David Neeleman (Founder, JetBlue)"
5,"University of Chicago, Booth School of Business","Located in Chicago, IL. Offers a flexible full-time MBA with a focus on analytical rigor, finance, and entrepreneurship. Known for Nobel laureate faculty and data-driven approach. Students customize curriculum with 20+ concentrations.",634,40%,729,3.59,326,5,"$1,98,315.00","$174,486 (2 years)","Sep 19, 2024","Jan 7, 2025","Apr 3, 2025",,,$250.00,Yes,36%,40%,3.59,729,3,USA,15,20,1,84,236 474,McKinsey; BCG; JPMorgan Chase; Goldman Sachs; Amazon; Bain & Co.,"Elite, global reach","Satya Nadella (CEO, Microsoft)","Susan Wagner (Co-founder, BlackRock)","David Booth (Co-founder, Dimensional Fund Advisors)","Eric Gleacher (Founder, Gleacher & Co.)"
6,"Carnegie Mellon University, Tepper School of Business","Located in Pittsburgh, PA. Offers a STEM-designated full-time MBA with a focus on analytics, technology, and leadership. Known for quantitative rigor and small class size. Features Management Game and consulting projects.",183,29%,705,3.37,322,5.2,"$1,73,009.00","$148,400 (2 years)","Oct 1, 2024","Jan 7, 2025","Mar 4, 2025","Apr 8, 2025",,$200.00,Yes,39%,29%,3.37,705,4,USA,,49,9,95,178 194,Amazon; Microsoft; McKinsey; Google; Deloitte; PwC,Strong in tech & analytics,"David Coulter (Non-Exec Chair, Bank of America)","Jim Rohr (Former CEO, PNC Financial)","Rajiv L. Gupta (Former Chair, DuPont)",Mark Cuban (Entrepreneur & Investor)
7,Columbia Business School,"Located in New York, NY. Offers a full-time MBA with access to finance, media, and tech industries. Known for its global perspective, flexible curriculum, and strong alumni network. Features January and August entry points.",614,39%,732,3.6,324,5,"$2,02,896.00","$174,816 (2 years)","Sep 10, 2024","Jan 7, 2025","Apr 1, 2025",,,$250.00,Yes,37%,39%,3.6,732,2,USA,7,2,5,91,"$2,42,747.00",McKinsey; Goldman Sachs; Morgan Stanley; BCG; Google; Amazon,"Elite, global reach","Warren Buffett (CEO, Berkshire Hathaway)","Henry Kravis (Co-founder, KKR)","Sallie Krawcheck (CEO, Ellevest)","Vikram Pandit (Former CEO, Citigroup)"
8,"Cornell University, Johnson Graduate School of Management","Located in Ithaca, NY, with NYC immersion options. Offers a two-year MBA and one-year STEM-designated MBA. Known for sustainability, finance, and tech focus. Features experiential learning and strong consulting placement.",283,37%,710,3.34,321,5.1,"$1,84,626.00","$162,580 (2 years)","Sep 18, 2024","Nov 1, 2024","Jan 10, 2025","Apr 2, 2025",,$200.00,Yes,39%,37%,3.34,710,4,USA,13,13,,79,"$2,00,517.00",McKinsey; Deloitte; Amazon; Goldman Sachs; BCG; Microsoft,Strong in finance & consulting,"Ratan Tata (Chairman, Tata Group)","Irene Rosenfeld (Former CEO, Mondelez)",,"Sandy Weill (Former CEO, Citigroup)"
9,"Dartmouth College, Tuck School of Business","Located in Hanover, NH. Offers a full-time MBA with a close-knit community and general management focus. Known for leadership development, teamwork, and outdoor activities. Strong alumni loyalty and consulting/finance placement.",287,43%,726,3.54,323,5,"$1,99,500.00","$172,500 (2 years)","Sep 24, 2024","Jan 6, 2025","Mar 31, 2025",,,$250.00,Yes,39%,43%,3.54,726,3,USA,57,20,,89,"$2,11,135.00",McKinsey; Bain; BCG; Goldman Sachs; Amazon; Microsoft,"Very strong, tight-knit alumni","Christopher A. Sinclair (Former CEO, PepsiCo)","Janet L. Robinson (Former CEO, The New York Times)","Kevin McGrath (Managing Director, Morgan Stanley)","Peter R. Dolan (Former CEO, Bristol-Myers Squibb)"
10,"Duke University, Fuqua School of Business","Located in Durham, NC. Offers a full-time MBA with a focus on teamwork, leadership, and global business. Known for ""Team Fuqua"" culture, health sector management, and sustainability. STEM-designated tracks available.",385,39%,719,3.5,322,5.6,"$1,83,150.00","$151,200 (2 years)","Sep 5, 2024","Oct 10, 2024","Jan 9, 2025","Feb 20, 2025",,$225.00,Yes,40%,39%,3.5,719,4,USA,11,11,,82,"$2,08,261.00",McKinsey; BCG; Amazon; Microsoft; Deloitte; Goldman Sachs,Strong in consulting & tech,"Tim Cook (CEO, Apple)","Melinda Gates (Co-chair, Gates Foundation)","John Allison (Former CEO, BB&T)","David Rubenstein (Co-founder, Carlyle Group)"
11,"Emory University, Goizueta Business School","Located in Atlanta, GA. Offers one- and two-year full-time MBA programs with a focus on leadership, analytics, and community. Known for personalized education, strong healthcare, and consulting placement. Small class size fosters collaboration.",125,32%,693,3.37,320,5,"$1,60,000.00","$149,200 (2 years)","Oct 2, 2024","Nov 1, 2024","Jan 10, 2025","Mar 7, 2025",,$175.00,Yes,34%,32%,3.37,693,4,USA,45,45,21,80,"$1,88,815.00",McKinsey; Bain; Amazon; Deloitte; PwC; Coca-Cola,Strong in Southeast USA,"Roberto Goizueta (Former CEO, Coca-Cola)","John Brock (Former CEO, Coca-Cola Enterprises)","J. Paul Raines (Former CEO, GameStop)","Susan Blakely (Founder, Career Success Strategies)"
