No.,Scholarship Name,Host Country,Host Organization,Level of Study,Latest Deadline (Approx.),Eligibility Criteria (Key Points),Benefits (Key Points),Fully Funded?,Official URL
1,Amsterdam Merit Scholarship (AMS),Netherlands,University of Amsterdam,Master’s,"January 15, 2026 (for Sep 2026 intake, varies by faculty)","- Non-EU/EEA students. &lt;br> - Admitted to a full-time Master’s program at UvA. &lt;br> - Excellent academic record (e.g., top 10% of class, high GPA). &lt;br> - No other scholarships covering the same study period. &lt;br> - Proof of English proficiency.","- €25,000 covering tuition and living expenses (for some faculties). &lt;br> - May be a partial tuition waiver for others. &lt;br> - Renewable for 2nd year based on performance.",Varies (Partial to Full),UvA Amsterdam Merit Scholarship
2,Aziz Foundation Scholarship (Partner Universities),United Kingdom,Aziz Foundation (via partner universities),Master’s,"April 4, 2025 (Oxford & Sheffield partner programs); June 20, 2025 (Sussex partner program)",- British Muslim students. &lt;br> - Eligible for UK home fees. &lt;br> - Commitment to serving communities. &lt;br> - Proven leadership or community engagement. &lt;br> - Must have an offer of admission from a partner university.,- Full tuition fee waiver. &lt;br> - Mentorship and support network access.,Yes (Tuition only),Aziz Foundation Scholarships
3,Heinrich Böll Foundation Scholarships,Germany,Heinrich Böll Foundation,"Master’s, PhD (Undergraduate for German/EU only)","March 1, 2025 & September 1, 2025",- International or German students. &lt;br> - Strong academic record. &lt;br> - Political/social commitment aligned with foundation values. &lt;br> - Enrolled or applying to a German state-recognized institution. &lt;br> - Good German language proficiency (B2 minimum for non-German taught programs).,"- Master's: Up to €934/month (Non-EU) or max. €812/month (EU). &lt;br> - PhD: Up to €1,200/month (Non-EU) or €1,350/month (EU). &lt;br> - Research allowance, travel support, health insurance.",Yes,Heinrich Böll Foundation Application
4,Manaaki New Zealand Government Scholarship,New Zealand,NZ Ministry of Foreign Affairs & Trade,"Bachelor’s, Master’s, PhD","February 28, 2026 (for 2026 intake, opens mid-2025)","- Citizens of eligible developing countries. &lt;br> - Meet age requirements (e.g., at least 18, preference for under 40). &lt;br> - Meet academic and English language proficiency requirements of chosen NZ university. &lt;br> - Commitment to contributing to the development of their home country after studies. &lt;br> - Residing in home country for 2 years prior to application.","- Full tuition fees. &lt;br> - Living allowance (NZ$615/week - 2026 rate). &lt;br> - Round-trip airfare, establishment stipend (NZ$3000). &lt;br> - Medical insurance, tutoring costs, reintegration allowance.",Yes,Manaaki NZ Scholarships
5,KAIST University Graduate Scholarship (including GKS for KAIST),South Korea,Korea Advanced Institute of Science & Technology (KAIST),"Master’s, PhD","March 25, 2025 (Fall 2025 Regular Track)","- Non-Korean citizens. &lt;br> - Bachelor’s degree for Master’s, Master’s for PhD (or expected graduation). &lt;br> - Age below 40. &lt;br> - Strong academic and health record. &lt;br> - English proficiency (TOEFL, IELTS, etc.).","- Full tuition fee exemption (4-8 semesters). &lt;br> - Monthly stipend (e.g., ₩350,000 for Master's, ₩400,000 for PhD; higher for specific scholarships like KGPS). &lt;br> - National Health Insurance Premium.",Yes,KAIST Graduate Admissions
6,Study in Canada Scholarships (Short-Term Exchange),Canada,Global Affairs Canada,"Undergraduate, Master’s, PhD (short-term exchange/research)","March 18, 2025 (for institutions to submit nominations)","- Citizens of eligible countries (e.g., Asia, Africa, Latin America). &lt;br> - Currently enrolled full-time in a post-secondary institution in their home country. &lt;br> - Must apply through a Canadian institution with an existing exchange agreement. &lt;br> - Proficiency in English or French.","- CAD 10,200 (4 months) or CAD 12,700 (5–6 months). &lt;br> - Covers tuition, living expenses, travel, and health insurance.",Yes,Scholarships - Canada.ca
7,Eiffel Excellence Scholarship Program,France,French Ministry for Europe and Foreign Affairs,"Master’s, PhD","January 8, 2025 (institutional deadline to Campus France)","- Non-French nationals. &lt;br> - Under 25 (Master’s), under 30 (PhD). &lt;br> - Must be nominated by a French higher education institution. &lt;br> - Strong academic background in priority fields.","- Master’s: €1,181/month stipend. &lt;br> - PhD: €1,800/month stipend. &lt;br> - Tuition waiver (for public institutions), round-trip airfare, health insurance, cultural activities.",Yes,Campus France Eiffel Scholarship Program
8,Emile Boutmy Scholarship – Sciences Po,France,Sciences Po,"Bachelor’s, Master’s","December 1, 2024 (Master’s); March 4, 2025 (Bachelor’s)",- Non-EU international students. &lt;br> - First-time applicants to Sciences Po. &lt;br> - Admitted to eligible Sciences Po programs. &lt;br> - Demonstrated academic excellence and financial need.,"- Bachelor’s: €3,000–€12,300/year (tuition grant), potentially with housing support. &lt;br> - Master’s: €5,000–€13,100/year (tuition grant). &lt;br> - Amounts vary based on merit and financial need.",Partial,Sciences Po Emile Boutmy Scholarship
9,IDEX Master Scholarships – Université Grenoble Alpes,France,Université Grenoble Alpes,"Master’s, Engineer degree","May 5, 2025 (coordinator selection); May 9, 2025 (scholarship application)",- International students. &lt;br> - Applying to eligible Master’s or Engineer degree programs at UGA. &lt;br> - Strong academic record. &lt;br> - Selected by the academic faculty (no direct student application).,"- €9,000 for M1/Ingé 2A academic year. &lt;br> - €5,500 for M2/Ingé 3A academic year. &lt;br> - Scholarship for one year, re-application needed for second year. &lt;br> - Does NOT exempt from tuition fees.",Partial,UGA IDEX Master Scholarships
10,University of Sheffield International Scholarships,United Kingdom,University of Sheffield,"Undergraduate, Master’s","May 12, 2025 (PGT Merit); April 22, 2025 (UG Merit)",- Hold an offer for an eligible course. &lt;br> - Classified as overseas for tuition fees. &lt;br> - Self-funded (not externally sponsored). &lt;br> - Meet academic merit criteria.,"- £2,000–£10,000 tuition discount. &lt;br> - Some awards are automatic, others require separate application.",Partial,University of Sheffield UG Scholarships &lt;br> University of Sheffield PG Taught Scholarships
11,University of Sussex Scholarships,United Kingdom,University of Sussex,"Undergraduate, Master’s","April 30, 2025 (Chancellor's International Scholarship)","- Both UK citizens and international students are eligible. &lt;br> - Eligibility varies by specific scholarship. &lt;br> - For Chancellor's: Overseas fee status, offer of place for full-time Bachelor's in 2025, self-financing, excellent academic grades.","- Benefits vary by specific scholarship. &lt;br> - Chancellor's International Scholarship: £5,000 in the first year of full-time study (tuition fee reduction).",Partial,University of Sussex Scholarships &lt;br> Chancellor's International Scholarship
